Net_YY,Customer,Solid,Stript,Check,1W_Match,2W_Match,LS,Plan_Cut_Qty,Repeat_x,Repeat_y,Avgÿ_Neck_Size,Double_Cuff,Marker_width,Dress,Sport
1.500787099,PF,1,0,0,0,1,1,12,0,0,32.2,0,61.0,1.000,0.000
1.510201136,PF,1,0,0,0,1,1,29,0,0,32.5,0,61.0,1.000,0.000
1.635724703,PF,1,0,0,0,1,1,23,0,0,33.7,0,61.3,1.000,0.000
1.589166641,PF,1,0,0,0,1,1,27,0,0,33.8,0,61.2,1.000,0.000
1.626488845,PF,1,0,0,0,1,1,25,0,0,34.4,0,61.0,1.000,0.000
1.480092525,PF,1,0,0,0,1,1,6,0,0,32.0,0,61.3,1.000,0.000
1.685740789,PF,1,0,0,0,1,1,6,0,0,34.0,1,60.8,1.000,0.000
1.637495518,PF,1,0,0,0,1,1,63,0,0,33.7,1,61.0,1.000,0.000
1.633122285,PF,1,0,0,0,1,1,25,0,0,33.6,1,61.0,1.000,0.000
1.515972296,PF,1,0,0,0,1,1,4,0,0,31.5,1,61.0,1.000,0.000
1.733888944,PF,0,1,0,0,1,1,2,0,0.400000006,33.0,1,61.3,1.000,0.000
1.663777828,PF,0,1,0,0,1,1,25,0,0.125,34.3,0,61.5,1.000,0.000
1.803378105,PF,1,0,0,0,1,1,31,0,0,36.0,0,60.8,1.000,0.000
1.699975967,PF,1,0,0,0,1,1,32,0,0,34.9,0,61.0,1.000,0.000
1.699975967,PF,1,0,0,0,1,1,257,0,0,34.9,0,61.0,1.000,0.000
1.711897055,PF,1,0,0,0,1,1,48,0,0,35.2,0,61.2,1.000,0.000
1.711897055,PF,1,0,0,0,1,1,81,0,0,35.2,0,61.2,1.000,0.000
1.71319437,PF,1,0,0,0,1,1,20,0,0,35.6,0,61.5,1.000,0.000
1.71319437,PF,1,0,0,0,1,1,32,0,0,35.6,0,61.5,1.000,0.000
1.698438168,PF,1,0,0,0,1,1,24,0,0,35.1,0,61.0,1.000,0.000
1.698438168,PF,1,0,0,0,1,1,485,0,0,35.1,0,61.0,1.000,0.000
1.701045513,PF,1,0,0,0,1,1,55,0,0,34.8,0,61.0,1.000,0.000
1.393388907,PF,1,0,0,0,1,0,10,0,0,34.0,0,61.0,0.904,0.096
1.711353461,PF,1,0,0,0,1,1,41,0,0,35.3,0,61.1,1.000,0.000
1.711353461,PF,1,0,0,0,1,1,6,0,0,35.3,0,61.1,1.000,0.000
1.70443058,PF,1,0,0,0,1,1,28,0,0,35.2,0,61.2,1.000,0.000
1.70443058,PF,1,0,0,0,1,1,12,0,0,35.2,0,61.2,1.000,0.000
1.736527761,PF,1,0,0,0,1,1,8,0,0,35.3,0,60.8,1.000,0.000
1.811512311,PF,0,1,0,0,1,1,54,0,0.140000001,35.3,0,61.3,1.000,0.000
1.350323995,PF,1,0,0,0,1,0,12,0,0,33.7,0,61.0,0.874,0.126
1.693143209,PF,1,0,0,0,1,1,14,0,0,34.0,0,60.9,1.000,0.000
1.693143209,PF,1,0,0,0,1,1,24,0,0,34.0,0,60.9,1.000,0.000
1.680611134,PF,1,0,0,0,1,1,10,0,0,34.6,0,60.8,1.000,0.000
1.946944396,PF,1,0,0,0,1,1,2,0,0,38.0,0,60.8,1.000,0.000
1.676180522,PF,1,0,0,0,1,1,16,0,0,34.1,0,61.3,1.000,0.000
1.704710325,PF,1,0,0,0,1,1,41,0,0,34.4,0,61.1,1.000,0.000
1.704710325,PF,1,0,0,0,1,1,6,0,0,34.4,0,61.1,1.000,0.000
1.804418405,PF,1,0,0,0,1,1,87,0,0,35.4,1,61.0,1.000,0.000
1.804418405,PF,1,0,0,0,1,1,22,0,0,35.4,1,61.0,1.000,0.000
1.804418405,PF,1,0,0,0,1,1,30,0,0,35.4,1,61.0,1.000,0.000
1.781076431,PF,0,1,0,0,1,1,16,0,0.125,34.5,1,61.5,0.922,0.078
1.749439875,pf,1,0,0,0,1,1,60,0,0,34.5,1,61.0,1.000,0.000
1.986944516,PF,1,0,0,0,1,1,4,0,0,38.0,1,61.0,1.000,0.000
1.846634865,PF,1,0,0,0,1,1,35,0,0,35.3,0,60.7,1.000,0.000
1.91070509,PF,0,1,0,0,1,1,26,0,0.400000006,36.1,1,61.3,1.000,0.000
1.60611105,PF,1,0,0,0,1,1,4,0,0,31.5,1,60.8,1.000,0.000
1.828888893,PF,1,0,0,0,1,1,6,0,0,35.3,1,60.8,1.000,0.000
1.715694427,PF,1,0,0,0,1,1,4,0,0,33.0,1,61.2,1.000,0.000
1.526388963,PF,1,0,0,0,1,1,4,0,0,33.5,0,61.3,1.000,0.000
1.416481495,PF,0,1,0,0,1,1,18,0,0.125,32.3,0,61.5,1.000,0.000
1.418913682,PF,1,0,0,0,1,1,14,0,0,32.4,0,61.2,1.000,0.000
1.418913682,PF,1,0,0,0,1,1,52,0,0,32.4,0,61.2,1.000,0.000
1.418913682,PF,1,0,0,0,1,1,46,0,0,32.4,0,61.2,1.000,0.000
1.446118673,PF,1,0,0,0,1,1,71,0,0,32.6,0,61.0,1.000,0.000
1.446118673,PF,1,0,0,0,1,1,2,0,0,32.6,0,61.0,1.000,0.000
1.47129631,PF,1,0,0,0,1,1,6,0,0,33.3,0,61.0,1.000,0.000
1.461666743,PF,1,0,0,0,1,1,14,0,0,33.5,0,61.3,1.000,0.000
1.461666743,PF,1,0,0,0,1,1,6,0,0,33.5,0,61.3,1.000,0.000
1.342152754,PF,1,0,0,0,1,1,8,0,0,30.3,0,61.0,1.000,0.000
1.414621194,PF,1,0,0,0,1,1,29,0,0,32.1,0,61.1,1.000,0.000
1.414621194,PF,1,0,0,0,1,1,4,0,0,32.1,0,61.1,1.000,0.000
1.698611101,PF,1,0,0,0,1,1,2,0,0,36.0,0,60.5,1.000,0.000
1.53013881,PF,0,1,0,0,1,1,8,0,0.400000006,33.3,0,61.3,1.000,0.000
1.504563491,PF,1,0,0,0,1,1,14,0,0,32.3,1,61.0,1.000,0.000
1.586018562,PF,1,0,0,0,1,1,6,0,0,34.0,1,61.0,1.000,0.000
1.467817465,PF,1,0,0,0,1,1,21,0,0,31.6,1,61.0,1.000,0.000
1.425000032,PF,1,0,0,0,1,1,2,0,0,29.0,1,60.5,1.000,0.000
1.906388919,PF,0,1,0,0,1,1,2,0,0.400000006,35.0,1,61.3,0.942,0.058
